Site,treatment,dry.wt,cn.ratio,delta.13C
Lueneburg Heath,Control,63.3,41.81,-27.33
Lueneburg Heath,Control,76.9,46.07,-26.52
Lueneburg Heath,Control,25.2,,-28.36
Lueneburg Heath,Control,14.5,49.31,-28.05
Lueneburg Heath,Control,46.7,40.25,-27.45
Lueneburg Heath,Control,47.3,58.55,-28.17
Lueneburg Heath,Control,14.4,52.95,-27.72
Nemitz Heath,Control,3.2,,-28.55
Nemitz Heath,Control,9.4,56.20,-27.69
Nemitz Heath,Control,36.6,,
Nemitz Heath,Control,23.0,46.63,-28.34
Nemitz Heath,Control,51.8,48.64,-28.09
Nemitz Heath,Control,68.3,43.09,-27.74
Nemitz Heath,Control,64.1,48.55,-28.11
Lueneburg Heath,D,14.2,,-28.42
Lueneburg Heath,D,26.9,42.83,-27.68
Lueneburg Heath,D,76.4,,-27.47
Lueneburg Heath,D,27.9,43.11,-27.64
Lueneburg Heath,D,30.7,50.16,-27.67
Lueneburg Heath,D,58.7,49.58,-28.09
Lueneburg Heath,D,42.6,46.71,-28.57
Nemitz Heath,D,14.2,47.90,-27.65
Nemitz Heath,D,12.7,48.36,-28.08
Nemitz Heath,D,17.6,54.97,-28.17
Nemitz Heath,D,24.4,46.37,
Nemitz Heath,D,35.4,54.80,-27.82
Nemitz Heath,D,60.6,49.18,-27.99
Nemitz Heath,D,50.0,49.00,-27.94
Lueneburg Heath,N,77.2,,-27.63
Lueneburg Heath,N,69.4,39.53,
Lueneburg Heath,N,73.1,39.28,-27.36
Lueneburg Heath,N,63.7,37.17,-27.56
Lueneburg Heath,N,51.1,,-27.55
Lueneburg Heath,N,60.3,42.38,-27.32
Lueneburg Heath,N,78.2,38.57,
Nemitz Heath,N,8.4,,-27.24
Nemitz Heath,N,22.4,34.98,-26.43
Nemitz Heath,N,47.8,36.86,-28.58
Nemitz Heath,N,81.4,43.93,-27.36
Nemitz Heath,N,37.5,41.43,-27.54
Nemitz Heath,N,33.6,40.04,-29.03
Nemitz Heath,N,31.3,42.44,-27.79
Lueneburg Heath,D+N,40.8,25.98,-27.65
Lueneburg Heath,D+N,39.5,33.17,-27.84
Lueneburg Heath,D+N,111.2,39.34,-27.11
Lueneburg Heath,D+N,82.6,36.58,-27.44
Lueneburg Heath,D+N,63.9,41.86,-27.78
Lueneburg Heath,D+N,63.6,43.37,-28.05
Lueneburg Heath,D+N,35.4,26.54,-26.78
Nemitz Heath,D+N,69.7,,-28.13
Nemitz Heath,D+N,20.7,30.18,-28.39
Nemitz Heath,D+N,7.4,,-28.04
Nemitz Heath,D+N,142.6,31.55,-28.16
Nemitz Heath,D+N,119.3,36.41,-27.47
Nemitz Heath,D+N,44.8,28.72,-27.64
Nemitz Heath,D+N,107.2,33.65,
