SELECT,SEX,Group,Mass,MMR
MAX,M,MAXM,31.22,6.997723
MAX,F,MAXF,24.175,4.603288
MAX,M,MAXM,29.465,6.320917
MAX,F,MAXF,26.86,4.513125
CONT,M,CONTM,28.35,5.591826
CONT,F,CONTF,20.005,3.406928
CONT,M,CONTM,25.445,4.312851
CONT,F,CONTF,19.06,3.693562
ANTAG,M,ANTAGM,23.795,4.472241
MAX,F,MAXF,24.6,5.267994
MAX,M,MAXM,33.375,6.864089
CONT,F,CONTF,22.955,3.932719
CONT,M,CONTM,28.055,4.435413
CONT,F,CONTF,22.67,4.643343
CONT,M,CONTM,28.945,4.929836
MAX,M,MAXM,27.55,6.106341
MAX,F,MAXF,24.66,5.760287
MAX,M,MAXM,28.38,5.683477
MAX,F,MAXF,25.48,5.2771
MAX,M,MAXM,30.155,5.712809
MAX,F,MAXF,23.23,4.49545
ANTAG,F,ANTAGF,24.66,4.734581
ANTAG,F,ANTAGF,22.425,4.472241
MAX,F,MAXF,24.27,4.634148
MAX,M,MAXM,29.79,5.034573
MAX,M,MAXM,25.335,5.578831
MAX,F,MAXF,21.275,4.958687
ANTAG,F,ANTAGF,23.675,4.764408
ANTAG,M,ANTAGM,26.675,4.938304
ANTAG,F,ANTAGF,23.66,4.440346
ANTAG,F,ANTAGF,21.845,3.795888
ANTAG,M,ANTAGM,25.895,5.431646
CONT,F,CONTF,24.185,4.403713
CONT,M,CONTM,28.01,5.100096
CONT,M,CONTM,26.375,6.650531
CONT,F,CONTF,23.39,4.124742
ANTAG,F,ANTAGF,24.18,4.54813
ANTAG,M,ANTAGM,25.585,5.008466
ANTAG,M,ANTAGM,30.93,6.113307
ANTAG,F,ANTAGF,26.84,5.040073
MAX,M,MAXM,29.62,7.008789
MAX,F,MAXF,27.77,6.002882
CONT,M,CONTM,24.905,5.034399
CONT,F,CONTF,30.505,5.39363
CONT,F,CONTF,22.575,4.353693
CONT,M,CONTM,30.605,5.890504
CONT,F,CONTF,26.62,5.424427
CONT,F,CONTF,28.195,5.832121
CONT,M,CONTM,27.71,5.41787
CONT,M,CONTM,24.525,4.653896
CONT,F,CONTF,22.795,4.881996
MAX,F,MAXF,29.325,5.721767
MAX,M,MAXM,31.96,5.581331
MAX,M,MAXM,32.76,6.477568
MAX,F,MAXF,26.74,5.655621
MAX,F,MAXF,24.46,5.218113
MAX,M,MAXM,29.615,7.008789
ANTAG,F,ANTAGF,19.88,3.888875
ANTAG,M,ANTAGM,30.055,5.441753
ANTAG,F,ANTAGF,22.71,4.81661
ANTAG,M,ANTAGM,29.035,5.301773
ANTAG,M,ANTAGM,29.105,5.768502
ANTAG,F,ANTAGF,25.17,4.62266
ANTAG,M,ANTAGM,29.345,5.476684
ANTAG,F,ANTAGF,24.705,4.951092
CONT,M,CONTM,26.15,4.599126
CONT,F,CONTF,24.615,5.184187
CONT,M,CONTM,28.63,4.562287
MAX,M,MAXM,32.8,6.954602
MAX,F,MAXF,30.86,6.218546
MAX,M,MAXM,29.87,6.506158
MAX,F,MAXF,24.345,5.418797
MAX,F,MAXF,27.685,5.065894
MAX,M,MAXM,33.34,6.994981
CONT,M,CONTM,28.54,5.08031
MAX,F,MAXF,24.9,5.598086
MAX,M,MAXM,30.945,6.592022
ANTAG,M,ANTAGM,33.605,7.008789
ANTAG,F,ANTAGF,24.45,5.405346
ANTAG,M,ANTAGM,23.74,5.008007
CONT,F,CONTF,22.115,4.385398
CONT,M,CONTM,25.91,5.348888
ANTAG,M,ANTAGM,26.41,5.161466
ANTAG,F,ANTAGF,25.49,4.711417
ANTAG,F,ANTAGF,22.68,5.191517
ANTAG,M,ANTAGM,29.09,5.401372
ANTAG,M,ANTAGM,26.195,5.09274
ANTAG,F,ANTAGF,20.265,4.214793
ANTAG,F,ANTAGF,23.99,5.514797
ANTAG,M,ANTAGM,28.155,5.859628
ANTAG,F,ANTAGF,19.905,4.331743
ANTAG,M,ANTAGM,27.39,5.74077
ANTAG,M,ANTAGM,31.185,5.981188
ANTAG,F,ANTAGF,20.66,4.621722
MAX,M,MAXM,29.675,6.353047
MAX,F,MAXF,21.6,4.975508
MAX,M,MAXM,27.72,5.955848
MAX,F,MAXF,27.575,5.72756
MAX,F,MAXF,24.41,5.352732
MAX,M,MAXM,29.4,6.598484
CONT,M,CONTM,24.69,4.89993
CONT,F,CONTF,22.055,4.580521
CONT,F,CONTF,20.595,4.924458
CONT,M,CONTM,26.155,5.049488
CONT,M,CONTM,24.93,4.522847
CONT,F,CONTF,18.42,4.071776
CONT,M,CONTM,26.655,5.13501
CONT,F,CONTF,21.065,4.415328
CONT,F,CONTF,23.34,5.11826
