Subject,Treatment,Color.change
56,Control,-0.7
34,Olfactory.cue,9.16
44,Simulated.attack,7.33
20,Control,-0.81
7,Olfactory.cue,3.94
4,Simulated.attack,11.06
58,Simulated.attack,2.29
35,Olfactory.cue,7.37
10,Olfactory.cue,4.9
29,Olfactory.cue,0.09
19,Simulated.attack,1.48
33,Control,0.78
21,Olfactory.cue,4.22
46,Simulated.attack,5.5
23,Control,-0.65
57,Olfactory.cue,7.88
31,Control,0.29
12,Simulated.attack,6.52
32,Control,0.3
15,Simulated.attack,1.75
38,Olfactory.cue,3.28
47,Simulated.attack,6.28
25,Simulated.attack,9.36
50,Olfactory.cue,3.16
27,Control,0.59
43,Olfactory.cue,6.56
28,Simulated.attack,0.35
53,Control,0.76
17,Simulated.attack,3.36
9,Olfactory.cue,3.54
11,Control,3.2
16,Simulated.attack,1.8
5,Control,-2.37
51,Olfactory.cue,0.88
40,Simulated.attack,-2.17
49,Olfactory.cue,1.98
1,Olfactory.cue,-1.53
59,Simulated.attack,-1.09
14,Control,-0.97
22,Simulated.attack,7.51
8,Control,3.08
41,Olfactory.cue,-0.88
48,Simulated.attack,7.41
60,Control,4.12
3,Olfactory.cue,6.42
13,Olfactory.cue,2.8
37,Simulated.attack,5.54
24,Olfactory.cue,0.97
